Date,UserID,RecipeID,Event
2022/1/10 11:23,1031,68,view_recipe
2022/1/10 11:25,1031,68,short_description
2022/1/10 11:27,1031,68,steps
2022/1/10 11:43,433,194,view_recipe
2022/1/10 11:45,433,194,long_description
2022/1/10 11:46,433,194,steps
2022/1/10 11:48,1428,470,view_recipe
2022/1/10 11:49,1428,470,short_description
2022/1/10 11:50,1428,470,steps
2022/1/10 12:13,1740,349,view_recipe
2022/1/10 12:15,1740,349,steps
2022/1/10 12:24,67,353,view_recipe
2022/1/10 12:24,67,353,short_description
2022/1/10 12:25,67,353,long_description
2022/1/10 12:25,67,353,steps
2022/1/10 12:55,1766,427,view_recipe
2022/1/10 12:58,1766,427,short_description
2022/1/10 12:58,1766,427,steps
2022/1/10 13:00,456,284,view_recipe
2022/1/10 13:00,456,284,short_description
2022/1/10 13:00,456,284,steps
2022/1/10 13:30,921,293,view_recipe
2022/1/10 13:30,921,293,short_description
2022/1/10 13:33,921,293,steps
2022/1/10 13:39,282,456,view_recipe
2022/1/10 13:41,282,456,short_description
2022/1/10 13:43,282,456,long_description
2022/1/10 13:44,282,456,steps
2022/1/10 14:04,1691,233,view_recipe
2022/1/10 14:05,1691,233,short_description
2022/1/10 14:07,1691,233,steps
2022/1/10 14:11,245,344,view_recipe
2022/1/10 14:13,245,344,short_description
2022/1/10 14:15,245,344,long_description
2022/1/10 14:18,245,344,steps
2022/1/10 14:19,1327,43,view_recipe
2022/1/10 14:20,1327,43,short_description
2022/1/10 14:20,245,344,view_comments
2022/1/10 14:21,1327,43,steps
2022/1/10 14:33,652,250,view_recipe
2022/1/10 14:34,652,250,short_description
2022/1/10 14:34,1822,54,view_recipe
2022/1/10 14:34,652,250,long_description
2022/1/10 14:35,1822,54,short_description
2022/1/10 14:37,1822,54,steps
2022/1/10 14:37,652,250,steps
2022/1/10 14:37,652,250,view_comments
2022/1/10 15:08,1392,360,view_recipe
2022/1/10 15:08,1392,360,short_description
2022/1/10 15:11,1392,360,steps
2022/1/10 15:18,1161,496,view_recipe
2022/1/10 15:19,1161,496,short_description
2022/1/10 15:20,1161,496,long_description
2022/1/10 15:23,1161,496,steps
2022/1/10 15:26,921,46,view_recipe
2022/1/10 15:26,921,46,short_description
2022/1/10 15:28,921,46,steps
2022/1/10 15:34,999,421,view_recipe
2022/1/10 15:35,999,421,steps
2022/1/10 15:36,999,421,view_comments
2022/1/10 16:08,1349,298,view_recipe
2022/1/10 16:10,1349,298,short_description
2022/1/10 16:11,1349,298,long_description
2022/1/10 16:13,1349,298,steps
2022/1/10 16:40,1017,398,view_recipe
2022/1/10 16:41,1017,398,short_description
2022/1/10 16:42,739,467,view_recipe
2022/1/10 16:43,1017,398,steps
2022/1/10 16:45,739,467,short_description
2022/1/10 16:46,739,467,steps
2022/1/10 16:59,1446,284,view_recipe
2022/1/10 16:59,1446,284,short_description
2022/1/10 17:02,1446,284,long_description
2022/1/10 17:02,1472,354,view_recipe
2022/1/10 17:02,1472,354,short_description
2022/1/10 17:03,1446,284,steps
2022/1/10 17:05,1472,354,long_description
2022/1/10 17:06,1472,354,steps
2022/1/10 17:09,1342,438,view_recipe
2022/1/10 17:10,1342,438,short_description
2022/1/10 17:11,1342,438,steps
2022/1/10 17:28,1829,94,view_recipe
2022/1/10 17:30,1829,94,short_description
2022/1/10 17:32,1829,94,long_description
2022/1/10 17:32,1829,94,steps
2022/1/10 17:52,590,240,view_recipe
2022/1/10 17:55,590,240,short_description
2022/1/10 17:55,590,240,steps
2022/1/10 17:57,590,240,view_comments
2022/1/10 19:29,1550,47,view_recipe
2022/1/10 19:31,1550,47,short_description
2022/1/10 19:32,1550,47,steps
2022/1/10 19:33,1550,47,view_comments
2022/1/10 20:21,46,420,view_recipe
2022/1/10 20:21,46,420,short_description
2022/1/10 20:23,46,420,long_description
2022/1/10 20:25,46,420,steps
2022/1/10 20:28,277,195,view_recipe
2022/1/10 20:29,277,195,short_description
2022/1/10 20:31,277,195,steps
2022/1/10 21:05,1610,253,view_recipe
2022/1/10 21:06,1610,253,short_description
2022/1/10 21:09,1610,253,steps
2022/1/10 21:12,235,335,view_recipe
2022/1/10 21:12,1618,267,view_recipe
2022/1/10 21:13,1618,267,short_description
2022/1/10 21:14,1618,267,steps
2022/1/10 21:14,235,335,short_description
2022/1/10 21:17,235,335,steps
2022/1/10 21:18,235,335,view_comments
2022/1/10 21:26,606,244,view_recipe
2022/1/10 21:29,606,244,short_description
2022/1/10 21:29,606,244,long_description
2022/1/10 21:30,606,244,steps
2022/1/10 21:35,1598,165,view_recipe
2022/1/10 21:37,1598,165,short_description
2022/1/10 21:39,1598,165,long_description
2022/1/10 21:42,1598,165,steps
2022/1/10 21:49,1175,213,view_recipe
2022/1/10 21:49,1175,213,short_description
2022/1/10 21:50,1175,213,steps
2022/1/10 21:51,1175,213,view_comments
2022/1/10 21:56,544,95,view_recipe
2022/1/10 21:58,544,95,short_description
2022/1/10 21:59,544,95,long_description
2022/1/10 22:01,544,95,steps
2022/1/10 22:44,1277,489,view_recipe
2022/1/10 22:47,1277,489,short_description
2022/1/10 22:48,1277,489,steps
2022/1/10 23:28,1171,44,view_recipe
2022/1/10 23:30,1171,44,short_description
2022/1/10 23:31,1171,44,steps
2022/1/10 23:33,1171,44,view_comments
2022/1/10 23:37,1331,458,view_recipe
2022/1/10 23:39,1331,458,short_description
2022/1/10 23:40,1331,458,steps
2022/1/11 01:30,1109,152,view_recipe
2022/1/11 01:31,1109,152,short_description
2022/1/11 01:32,1109,152,steps
2022/1/11 01:43,605,13,view_recipe
2022/1/11 01:45,605,13,short_description
2022/1/11 01:46,605,13,long_description
2022/1/11 01:47,605,13,steps
2022/1/11 01:48,605,13,view_comments
2022/1/11 02:19,1913,295,view_recipe
2022/1/11 02:19,1913,295,short_description
2022/1/11 02:22,1913,295,steps
2022/1/11 02:34,143,92,view_recipe
2022/1/11 02:35,143,92,long_description
2022/1/11 02:36,143,92,steps
2022/1/11 02:37,1480,436,view_recipe
2022/1/11 02:38,1480,436,short_description
2022/1/11 02:40,1480,436,long_description
2022/1/11 02:40,1480,436,steps
2022/1/11 02:41,1480,436,view_comments
2022/1/11 03:17,1515,260,view_recipe
2022/1/11 03:17,1440,198,view_recipe
2022/1/11 03:19,1515,260,short_description
2022/1/11 03:19,1440,198,short_description
2022/1/11 03:21,1515,260,steps
2022/1/11 03:22,1440,198,steps
2022/1/11 03:24,1440,198,view_comments
2022/1/11 03:56,1943,146,view_recipe
2022/1/11 03:57,1943,146,short_description
2022/1/11 03:58,617,263,view_recipe
2022/1/11 03:59,1943,146,steps
2022/1/11 04:00,1943,146,view_comments
2022/1/11 04:00,617,263,short_description
2022/1/11 04:01,617,263,long_description
2022/1/11 04:02,617,263,steps
2022/1/11 04:59,833,421,view_recipe
2022/1/11 05:01,833,421,short_description
2022/1/11 05:04,833,421,long_description
2022/1/11 05:05,1845,323,view_recipe
2022/1/11 05:05,833,421,steps
2022/1/11 05:06,833,421,view_comments
2022/1/11 05:06,1845,323,short_description
2022/1/11 05:07,1845,323,steps
2022/1/11 05:14,947,441,view_recipe
2022/1/11 05:14,947,441,short_description
2022/1/11 05:15,947,441,long_description
2022/1/11 05:16,947,441,steps
2022/1/11 05:19,947,441,view_comments
2022/1/11 05:56,850,109,view_recipe
2022/1/11 05:59,850,109,short_description
2022/1/11 06:01,850,109,long_description
2022/1/11 06:02,850,109,steps
2022/1/11 06:23,337,128,view_recipe
2022/1/11 06:23,337,128,short_description
2022/1/11 06:25,337,128,steps
2022/1/11 07:22,726,410,view_recipe
2022/1/11 07:24,726,410,short_description
2022/1/11 07:25,726,410,long_description
2022/1/11 07:27,726,410,steps
2022/1/11 09:18,550,232,view_recipe
2022/1/11 09:19,550,232,short_description
2022/1/11 09:20,550,232,steps
2022/1/11 09:21,550,232,view_comments
2022/1/11 09:39,1660,197,view_recipe
2022/1/11 09:40,1660,197,short_description
2022/1/11 09:42,1660,197,steps
2022/1/11 10:00,690,398,view_recipe
2022/1/11 10:01,690,398,short_description
2022/1/11 10:02,690,398,steps
2022/1/11 10:03,162,309,view_recipe
